food_type,calories,fat,carbohydrates,protein,calcium,iron,magnesium,potassium,sodium,vitamin_d,vitamin_b12
salad-chicken-strip,43.790000000000006,0.9193,0.0,8.8566,0.00145,0.0001305,0.00986,0.11339,0.01508,0.0,6.09e-08
rib,329.84000000000003,18.1013,0.0,39.407900000000005,0.01064,0.0047348,0.03458,0.4309200000000001,0.07182,1.33e-07,2.9585714285714284e-06
chicken-sandwich,695.52,34.2468,69.048,27.568800000000003,0.18144,0.0043092,0.0504,0.45108,1.5548400000000002,5.040000000000001e-07,8.289473684210528e-07
hamburger,775.85,30.031,87.23150000000001,39.23500000000001,0.3422,0.0084665,0.0649,0.58115,1.4366500000000002,0.0,3.54e-06
plain-toast,115.2,1.172,21.712,4.031999999999999,0.0348,0.0015999999999999,0.0172,0.0484,0.2264,1.6e-07,2e-08
toast-with-strawberry-jam,103.2,1.0499166666666668,19.450333333333333,3.612,0.031175,0.0014333333333333,0.0154083333333333,0.0433583333333333,0.2028166666666666,1.4333333333333337e-07,1.7916666666666668e-08
crispy-pork-rib,56.0,2.95,0.0,6.92,0.00125,0.000195,0.0067499999999999,0.1135,0.013,1.5e-07,1.527777777777778e-07
pork-feet,104.72,7.061999999999999,0.0,9.6536,0.0,0.0004312,0.0022,0.01452,0.03212,0.0,1.8048979591836738e-07
lamb-shank,391.95,15.919200000000002,0.0,62.1291,0.04221,0.0036179999999999,0.04623,0.63918,0.27537,2.01e-07,4.544734513274337e-06
veal-kebab-piece,53.13,2.6197,0.0,6.923,0.00506,0.0002645,0.00598,0.07475,0.02001,0.0,3.61e-07
chicken-leg,218.96,10.6981,0.0,28.5957,0.01428,0.0012971,0.02737,0.31416,0.11662,1.1900000000000001e-07,4.518421052631579e-07
captain-crunch-granola-bar,120.0,5.3775,16.0975,2.2525,0.01225,0.0006374999999999,0.0245,0.07425,0.08775,0.0,0.0
meatloaf,1633.3300000000002,100.6636,0.0,181.7693,0.12618,0.0192074,0.1402,2.00486,0.44864,0.0,1.7473303834808262e-05
costco-tuna-rice-ball,67.2,0.1974,14.0238,1.995,0.00882,0.0002099999999999,0.0084,0.0609,0.11214,4.2e-07,4.62e-08
costco-cucumber-sushi-roll-1,16.38,0.0322,3.6036,0.3066,0.00168,3.08e-05,0.00168,0.00882,0.01344,1.4e-08,0.0
steak-piece,58.79999999999999,2.4384,0.0,8.388,0.00312,0.0008016,0.006,0.0659999999999999,0.01296,2.4e-08,5.854285714285714e-07
chicken-breast,88.32000000000001,4.3152,0.0,11.534400000000002,0.00576,0.0005232,0.01104,0.12672,0.04704,4.8000000000000006e-08,1.8225e-07
near-whole-chicken,2520.0,112.9275,338.0475,47.3025,0.25725,0.0133875,0.5145000000000001,1.55925,1.84275,0.0,0.0
shrimp-salad-roll,53.55,1.2494999999999998,3.332,7.318499999999999,0.02975,0.0004521999999999,0.0190399999999999,0.2034899999999999,0.24633,0.0,1.904e-06
half-minced-shrimp,101.64,5.1576,4.8174,8.9838,0.02814,0.0005292,0.0168,0.0945,0.14448,4.2e-08,7.851666666666666e-07
half-shrimp-salad-roll,23.4,0.546,1.456,3.198,0.013,0.0001975999999999,0.00832,0.08892,0.10764,0.0,8.319999999999999e-07
chocolate-granola-bar,146.89,4.958,26.695500000000003,1.9573,0.02405,0.0008547,0.02405,0.08954,0.07585,0.0,0.0
salad-beef-strip,17.24137931,0.7758620700000001,0.17241379,2.4137931000000004,0.0,0.0017241399999999,0.0,0.0,0.03275862,0.0,0.0
red-yellow-apple,110.58,0.291,26.384,0.5431999999999999,0.01164,0.0002521999999999,0.0096999999999999,0.194,0.0038799999999999,0.0,0.0
